Nodes,Accuracy,Time
100,0.8943099975585938,17.631939387321474
110,0.8952099919319153,19.407874941825867
120,0.9061399936676026,21.098576307296753
130,0.907260000705719,23.540630984306336
140,0.9122199952602387,25.558772253990174
150,0.9124399960041046,27.982026791572572
160,0.9166099905967713,29.842808032035826
170,0.9194599986076355,32.671430349349976
180,0.9227999925613404,36.08156983852386
190,0.9214299976825714,39.3693204164505
200,0.9242900013923645,43.77001287937164
210,0.9263299882411957,48.38692467212677
220,0.9289399921894074,51.637247014045716
230,0.9282000124454498,57.70686540603638
240,0.9304099917411804,63.1961407661438
250,0.9300300061702729,68.87333292961121
260,0.9337999999523163,75.01315217018127
270,0.9352200031280518,82.40238893032074
280,0.9372300028800964,88.00038397312164
290,0.9355599999427795,94.721113443374634
300,0.9361799955368042,100.8046671628952